Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,321,12,77556.46,2,4,4,244,At Risk
12347,35,7,5408.5,3,3,4,334,Champions
12348,71,5,2019.3999999999999,3,3,3,333,Champions
12349,14,4,4428.6900000000005,4,3,4,434,Champions
12350,305,1,334.40000000000003,2,1,1,211,Lost
12351,370,1,300.93,2,1,1,211,Lost
12352,31,10,2849.84,3,4,4,344,Champions
12353,199,2,406.76,2,2,2,222,At Risk
12354,228,1,1079.4,2,1,3,213,Cannot Lose Them
12355,209,2,947.61,2,2,3,223,At Risk
12356,18,6,6371.7300000000005,4,3,4,434,Champions
12357,28,3,18287.66,3,2,4,324,Loyal Customers
12358,146,4,3203.8700000000003,2,3,4,234,At Risk
12359,53,10,8873.39,3,4,4,344,Champions
12360,47,8,4252.89,3,4,4,344,Champions
12361,282,4,511.25,2,3,2,232,At Risk
12362,31,10,4827.1900000000005,3,4,4,344,Champions
12363,105,2,552.0,2,2,2,222,At Risk
12364,3,4,1313.1,4,3,3,433,Champions
12365,286,2,641.38,2,2,2,222,At Risk
12366,629,1,500.24,1,1,2,112,Lost
12368,623,1,917.7,1,1,3,113,Cannot Lose Them
12369,409,3,1791.15,1,2,3,123,Cannot Lose Them
12370,46,7,4316.56,3,3,4,334,Champions
12371,40,5,4067.38,3,3,4,334,Champions
12372,67,3,1298.04,3,2,3,323,Loyal Customers
12373,307,3,1127.65,2,2,3,223,At Risk
12374,20,4,2989.2200000000003,4,3,4,434,Champions
12375,6,2,457.5,4,2,2,422,Loyal Customers
12376,385,2,503.15,1,2,2,122,Lost
12377,310,4,3426.32,2,3,4,234,At Risk
12378,125,2,5416.32,2,2,4,224,At Risk
12379,77,4,1620.22,3,3,3,333,Champions
12380,17,11,9676.300000000001,4,4,4,444,Champions
12381,28,4,1698.3,3,3,3,333,Champions
12383,180,5,1850.56,2,3,3,233,At Risk
12384,24,2,585.27,4,2,2,422,Loyal Customers
12385,374,1,1938.4,2,1,3,213,Cannot Lose Them
12386,333,2,660.8000000000001,2,2,2,222,At Risk
12387,410,1,143.94,1,1,1,111,Lost
12388,11,8,3901.11,4,4,4,444,Champions
